timestamp,latitude,longitude,altitude,vx,vy,vz
1759417639.306,44.436856,8.882083,70.0,0.1,5.0,0.0
1759417639.406,44.436856,8.882089,70.0,0.1,5.0,0.0
1759417639.506,44.436856,8.882096,70.0,0.1,5.0,0.0
1759417639.606,44.436856,8.882102,70.0,0.1,5.0,0.0
1759417639.706,44.436856,8.882108,70.0,0.1,5.0,0.0
1759417639.806,44.436856,8.882114,70.0,0.1,5.0,0.0
1759417639.906,44.436856,8.882121,70.0,0.1,5.0,0.0
1759417640.006,44.436856,8.882127,70.0,0.1,5.0,0.0
1759417640.106,44.436856,8.882133,70.0,0.1,5.0,0.0
1759417640.206,44.436856,8.88214,70.0,0.1,5.0,0.0
1759417640.306,44.436856,8.882146,70.0,0.1,5.0,0.0
1759417640.406,44.436856,8.882152,70.0,0.1,5.0,0.0
1759417640.506,44.436857,8.882158,70.0,0.1,5.0,0.0
1759417640.606,44.436857,8.882165,70.0,0.1,5.0,0.0
1759417640.706,44.436857,8.882171,70.0,0.1,5.0,0.0
1759417640.806,44.436857,8.882177,70.0,0.1,5.0,0.0
1759417640.906,44.436857,8.882184,70.0,0.1,5.0,0.0
1759417641.006,44.436857,8.88219,70.0,0.1,5.0,0.0
1759417641.106,44.436857,8.882196,70.0,0.1,5.0,0.0
1759417641.206,44.436857,8.882202,70.0,0.1,5.0,0.0
1759417641.306,44.436857,8.882209,70.0,0.1,5.0,0.0
1759417641.406,44.436857,8.882215,70.0,0.1,5.0,0.0
1759417641.506,44.436857,8.882221,70.0,0.1,5.0,0.0
1759417641.606,44.436857,8.882228,70.0,0.1,5.0,0.0
1759417641.706,44.436857,8.882234,70.0,0.1,5.0,0.0
1759417641.806,44.436857,8.88224,70.0,0.1,5.0,0.0
1759417641.906,44.436857,8.882246,70.0,0.1,5.0,0.0
1759417642.006,44.436857,8.882253,70.0,0.1,5.0,0.0
1759417642.106,44.436858,8.882259,70.0,0.1,5.0,0.0
1759417642.206,44.436858,8.882265,70.0,0.1,5.0,0.0
1759417642.306,44.436858,8.882272,70.0,0.1,5.0,0.0
1759417642.406,44.436858,8.882278,70.0,0.1,5.0,0.0
1759417642.506,44.436858,8.882284,70.0,0.1,5.0,0.0
1759417642.606,44.436858,8.88229,70.0,0.1,5.0,0.0
1759417642.706,44.436858,8.882297,70.0,0.1,5.0,0.0
1759417642.806,44.436858,8.882303,70.0,0.1,5.0,0.0
1759417642.906,44.436858,8.882309,70.0,0.1,5.0,0.0
1759417643.006,44.436858,8.882316,70.0,0.1,5.0,0.0
1759417643.106,44.436858,8.882322,70.0,0.1,5.0,0.0
1759417643.206,44.436858,8.882328,70.0,0.1,5.0,0.0
1759417643.306,44.436858,8.882335,70.0,0.1,5.0,0.0
1759417643.406,44.436858,8.882341,70.0,0.1,5.0,0.0
1759417643.506,44.436859,8.882347,70.0,0.1,5.0,0.0
1759417643.606,44.436859,8.882354,70.0,0.1,5.0,0.0
1759417643.706,44.436859,8.88236,70.0,0.1,5.0,0.0
1759417643.806,44.436859,8.882366,70.0,0.1,5.0,0.0
1759417643.906,44.436859,8.882373,70.0,0.1,5.0,0.0
1759417644.006,44.436859,8.882379,70.0,0.1,5.0,0.0
1759417644.106,44.436859,8.882386,70.0,0.1,5.0,0.0
1759417644.206,44.436859,8.882392,70.0,0.1,5.0,0.0
1759417644.306,44.436859,8.882398,70.0,0.1,5.0,0.0
